"","date","code","description","type","issuer","listing_date","maturity_date","interest","interest_type","interest_freq","originated_amt","sector","total","mature"
"1",2023-01-31,"SIPPLN03BCN4","SUKUK IJARAH BERKELANJUTAN III PLN TAHAP IV TAHUN 2019 SERI B","SUKUK","PERUSAHAAN LISTRIK NEGARA (PERSERO), PT",2019-08-02,2026-08-01,8.5,"FIXED","3 MONTHS",3.68e+11,"ENERGY",3.68e+11,6.99794661190965
"2",2023-01-31,"SIPPLN03BCN5","SUKUK IJARAH BERKELANJUTAN III PLN TAHAP V TAHUN 2019 SERI B","SUKUK","PERUSAHAAN LISTRIK NEGARA (PERSERO), PT",2019-10-02,2026-10-01,8.4,"FIXED","3 MONTHS",1e+10,"ENERGY",1e+10,6.99794661190965
"3",2023-01-31,"SIPPLN03BCN6","SUKUK IJARAH BERKELANJUTAN III PLN TAHAP VI TAHUN 2020 SERI B","SUKUK","PERUSAHAAN LISTRIK NEGARA (PERSERO), PT",2020-02-19,2030-02-18,8,"FIXED","3 MONTHS",3.5e+09,"ENERGY",3.5e+09,9.99863107460643
"4",2023-01-31,"SIPPLN03CCN1","SUKUK IJARAH BKLJ III PLN THP I TAHUN 2018 SERI C","SUKUK","PERUSAHAAN LISTRIK NEGARA (PERSERO), PT",2018-07-11,2028-07-10,8.4,"FIXED","3 MONTHS",2.58e+11,"ENERGY",2.58e+11,9.99863107460643
"5",2023-01-31,"SIPPLN03CCN2","SUKUK IJARAH BERKELANJUTAN III PLN TAHAP II TAHUN 2018 SERI C","SUKUK","PERUSAHAAN LISTRIK NEGARA (PERSERO), PT",2018-10-11,2028-10-10,9.1,"FIXED","3 MONTHS",1.5e+10,"ENERGY",1.5e+10,9.99863107460643
"6",2023-01-31,"SIPPLN03CCN3","SUKUK IJARAH BERKELANJUTAN III PLN TAHAP III TAHUN 2019 SERI C","SUKUK","PERUSAHAAN LISTRIK NEGARA (PERSERO), PT",2019-02-20,2026-02-19,9.35,"FIXED","3 MONTHS",2.04e+11,"ENERGY",2.04e+11,6.99794661190965
"7",2023-01-31,"SIPPLN03CCN4","SUKUK IJARAH BERKELANJUTAN III PLN TAHAP IV TAHUN 2019 SERI C","SUKUK","PERUSAHAAN LISTRIK NEGARA (PERSERO), PT",2019-08-02,2029-08-01,8.7,"FIXED","3 MONTHS",2e+10,"ENERGY",2e+10,9.99863107460643
"8",2023-01-31,"SIPPLN03CCN5","SUKUK IJARAH BERKELANJUTAN III PLN TAHAP V TAHUN 2019 SERI C","SUKUK","PERUSAHAAN LISTRIK NEGARA (PERSERO), PT",2019-10-02,2029-10-01,8.6,"FIXED","3 MONTHS",9.2e+10,"ENERGY",9.2e+10,9.99863107460643
"9",2023-01-31,"SIPPLN03CCN6","SUKUK IJARAH BERKELANJUTAN III PLN TAHAP VI TAHUN 2020 SERI C","SUKUK","PERUSAHAAN LISTRIK NEGARA (PERSERO), PT",2020-02-19,2035-02-18,8.7,"FIXED","3 MONTHS",9e+09,"ENERGY",9e+09,14.9979466119097
"10",2023-01-31,"SIPPLN03DCN1","SUKUK IJARAH BKLJ III PLN THP I TAHUN 2018 SERI D","SUKUK","PERUSAHAAN LISTRIK NEGARA (PERSERO), PT",2018-07-11,2033-07-10,8.9,"FIXED","3 MONTHS",1.05e+11,"ENERGY",1.05e+11,14.9979466119097
