date,code,description,type,issuer,listing_date,maturity_date,interest,interest_type,interest_freq,originated_amt,total,mature,interest_freq_num,payments_count,curr_amt,days_purchase,sold_per_day,sold_ratio,sold_speed_pct_per_day,sector_type,payments_total
2023-01-31,SIPPLN03BCN4,SUKUK IJARAH BERKELANJUTAN III PLN TAHAP IV TAHUN 2019 SERI B,SUKUK,"PERUSAHAAN LISTRIK NEGARA (PERSERO), PT",2019-08-02,2026-08-01,8.5,FIXED,3 MONTHS,368000000000,368000000000,6.997946611909651,4,28,0,1279,287724784.9882721,1,7.818608287724785e-4,Natural Resources,875840000000.0001
2023-01-31,SIPPLN03BCN5,SUKUK IJARAH BERKELANJUTAN III PLN TAHAP V TAHUN 2019 SERI B,SUKUK,"PERUSAHAAN LISTRIK NEGARA (PERSERO), PT",2019-10-02,2026-10-01,8.4,FIXED,3 MONTHS,10000000000,10000000000,6.997946611909651,4,28,0,1218,8210180.623973727,1,8.210180623973727e-4,Natural Resources,23520000000.000004
2023-01-31,SIPPLN03BCN6,SUKUK IJARAH BERKELANJUTAN III PLN TAHAP VI TAHUN 2020 SERI B,SUKUK,"PERUSAHAAN LISTRIK NEGARA (PERSERO), PT",2020-02-19,2030-02-18,8,FIXED,3 MONTHS,3500000000,3500000000,9.998631074606434,4,40,0,1078,3246753.2467532465,1,9.276437847866419e-4,Natural Resources,11200000000
2023-01-31,SIPPLN03CCN1,SUKUK IJARAH BKLJ III PLN THP I TAHUN 2018 SERI C,SUKUK,"PERUSAHAAN LISTRIK NEGARA (PERSERO), PT",2018-07-11,2028-07-10,8.4,FIXED,3 MONTHS,258000000000,258000000000,9.998631074606434,4,40,0,1666,154861944.77791116,1,6.002400960384153e-4,Natural Resources,866880000000.0001
2023-01-31,SIPPLN03CCN2,SUKUK IJARAH BERKELANJUTAN III PLN TAHAP II TAHUN 2018 SERI C,SUKUK,"PERUSAHAAN LISTRIK NEGARA (PERSERO), PT",2018-10-11,2028-10-10,9.1,FIXED,3 MONTHS,15000000000,15000000000,9.998631074606434,4,40,0,1574,9529860.228716645,1,6.353240152477764e-4,Natural Resources,54599999999.99999
2023-01-31,SIPPLN03CCN3,SUKUK IJARAH BERKELANJUTAN III PLN TAHAP III TAHUN 2019 SERI C,SUKUK,"PERUSAHAAN LISTRIK NEGARA (PERSERO), PT",2019-02-20,2026-02-19,9.35,FIXED,3 MONTHS,204000000000,204000000000,6.997946611909651,4,28,0,1442,141470180.30513176,1,6.934812760055479e-4,Natural Resources,534072000000
2023-01-31,SIPPLN03CCN4,SUKUK IJARAH BERKELANJUTAN III PLN TAHAP IV TAHUN 2019 SERI C,SUKUK,"PERUSAHAAN LISTRIK NEGARA (PERSERO), PT",2019-08-02,2029-08-01,8.7,FIXED,3 MONTHS,20000000000,20000000000,9.998631074606434,4,40,0,1279,15637216.57544957,1,7.818608287724785e-4,Natural Resources,69599999999.99998
2023-01-31,SIPPLN03CCN5,SUKUK IJARAH BERKELANJUTAN III PLN TAHAP V TAHUN 2019 SERI C,SUKUK,"PERUSAHAAN LISTRIK NEGARA (PERSERO), PT",2019-10-02,2029-10-01,8.6,FIXED,3 MONTHS,92000000000,92000000000,9.998631074606434,4,40,0,1218,75533661.7405583,1,8.210180623973727e-4,Natural Resources,316479999999.99994
2023-01-31,SIPPLN03CCN6,SUKUK IJARAH BERKELANJUTAN III PLN TAHAP VI TAHUN 2020 SERI C,SUKUK,"PERUSAHAAN LISTRIK NEGARA (PERSERO), PT",2020-02-19,2035-02-18,8.7,FIXED,3 MONTHS,9000000000,9000000000,14.99794661190965,4,60,0,1078,8348794.063079777,1,9.276437847866419e-4,Natural Resources,46980000000
2023-01-31,SIPPLN03DCN1,SUKUK IJARAH BKLJ III PLN THP I TAHUN 2018 SERI D,SUKUK,"PERUSAHAAN LISTRIK NEGARA (PERSERO), PT",2018-07-11,2033-07-10,8.9,FIXED,3 MONTHS,105000000000,105000000000,14.99794661190965,4,60,0,1666,63025210.084033616,1,6.002400960384153e-4,Natural Resources,560700000000.0001
2023-01-31,SIPPLN03DCN2,SUKUK IJARAH BERKELANJUTAN III PLN TAHAP II TAHUN 2018 SERI D,SUKUK,"PERUSAHAAN LISTRIK NEGARA (PERSERO), PT",2018-10-11,2038-10-10,9.65,FIXED,3 MONTHS,50000000000,50000000000,19.99726214921287,4,80,0,1574,31766200.762388818,1,6.353240152477764e-4,Natural Resources,386000000000.00006
2023-01-31,SIPPLN03DCN3,SUKUK IJARAH BERKELANJUTAN III PLN TAHAP III TAHUN 2019 SERI D,SUKUK,"PERUSAHAAN LISTRIK NEGARA (PERSERO), PT",2019-02-20,2029-02-19,9.6,FIXED,3 MONTHS,45000000000,45000000000,9.998631074606434,4,40,0,1442,31206657.420249652,1,6.934812760055479e-4,Natural Resources,172800000000
2023-01-31,SIPPLN03DCN4,SUKUK IJARAH BERKELANJUTAN III PLN TAHAP IV TAHUN 2019 SERI D,SUKUK,"PERUSAHAAN LISTRIK NEGARA (PERSERO), PT",2019-08-02,2034-08-01,9.5,FIXED,3 MONTHS,49000000000,49000000000,14.99794661190965,4,60,0,1279,38311180.60985145,1,7.818608287724785e-4,Natural Resources,279300000000
2023-01-31,SIPPLN03DCN5,SUKUK IJARAH BERKELANJUTAN III PLN TAHAP V TAHUN 2019 SERI D,SUKUK,"PERUSAHAAN LISTRIK NEGARA (PERSERO), PT",2019-10-02,2034-10-01,9.4,FIXED,3 MONTHS,135000000000,135000000000,14.99794661190965,4,60,0,1218,110837438.42364532,1,8.210180623973727e-4,Natural Resources,761400000000
2023-01-31,SIPPLN03DCN6,SUKUK IJARAH BERKELANJUTAN III PLN TAHAP VI TAHUN 2020 SERI D,SUKUK,"PERUSAHAAN LISTRIK NEGARA (PERSERO), PT",2020-02-19,2040-02-18,9.05,FIXED,3 MONTHS,62500000000,62500000000,19.99726214921287,4,80,0,1078,57977736.54916512,1,9.276437847866419e-4,Natural Resources,452500000000.00006
2023-01-31,SIPPLN03ECN1,SUKUK IJARAH BKLJ III PLN THP I TAHUN 2018 SERI E,SUKUK,"PERUSAHAAN LISTRIK NEGARA (PERSERO), PT",2018-07-11,2038-07-10,9,FIXED,3 MONTHS,110000000000,110000000000,19.99726214921287,4,80,0,1666,66026410.56422569,1,6.002400960384153e-4,Natural Resources,791999999999.9999
2023-01-31,SIPPLN03ECN3,SUKUK IJARAH BERKELANJUTAN III PLN TAHAP III TAHUN 2019 SERI E,SUKUK,"PERUSAHAAN LISTRIK NEGARA (PERSERO), PT",2019-02-20,2034-02-19,9.8,FIXED,3 MONTHS,60000000000,60000000000,14.99794661190965,4,60,0,1442,41608876.56033287,1,6.934812760055479e-4,Natural Resources,352800000000
2023-01-31,SIPPLN03ECN4,SUKUK IJARAH BERKELANJUTAN III PLN TAHAP IV TAHUN 2019 SERI E,SUKUK,"PERUSAHAAN LISTRIK NEGARA (PERSERO), PT",2019-08-02,2039-08-01,9.975,FIXED,3 MONTHS,539000000000,539000000000,19.99726214921287,4,80,0,1279,421422986.7083659,1,7.818608287724785e-4,Natural Resources,4301219999999.9995
2023-01-31,SIPPLN03ECN5,SUKUK IJARAH BERKELANJUTAN III PLN TAHAP V TAHUN 2019 SERI E,SUKUK,"PERUSAHAAN LISTRIK NEGARA (PERSERO), PT",2019-10-02,2039-10-01,9.9,FIXED,3 MONTHS,554000000000,554000000000,19.99726214921287,4,80,0,1218,454844006.5681445,1,8.210180623973727e-4,Natural Resources,4387680000000
2023-01-31,SIPPLN03FCN3,SUKUK IJARAH BERKELANJUTAN III PLN TAHAP III TAHUN 2019 SERI F,SUKUK,"PERUSAHAAN LISTRIK NEGARA (PERSERO), PT",2019-02-20,2039-02-19,9.95,FIXED,3 MONTHS,28000000000,28000000000,19.99726214921287,4,80,0,1442,19417475.72815534,1,6.934812760055479e-4,Natural Resources,222879999999.99997
2023-01-31,SIPPLN04ACN1,SUKUK IJARAH BERKELANJUTAN IV PLN TAHAP I TAHUN 2020 SERI A,SUKUK,"PERUSAHAAN LISTRIK NEGARA (PERSERO), PT",2020-09-09,2025-09-08,6.7,FIXED,3 MONTHS,39000000000,39000000000,4.996577686516085,4,20,0,875,44571428.571428575,1,0.001142857142857143,Natural Resources,52260000000
2023-01-31,SIPPLN04BCN1,SUKUK IJARAH BERKELANJUTAN IV PLN TAHAP I TAHUN 2020 SERI B,SUKUK,"PERUSAHAAN LISTRIK NEGARA (PERSERO), PT",2020-09-09,2027-09-08,7.25,FIXED,3 MONTHS,35000000000,35000000000,6.995208761122519,4,28,0,875,40000000,1,0.001142857142857143,Natural Resources,71050000000
2023-01-31,SIPPLN04CCN1,SUKUK IJARAH BERKELANJUTAN IV PLN TAHAP I TAHUN 2020 SERI C,SUKUK,"PERUSAHAAN LISTRIK NEGARA (PERSERO), PT",2020-09-09,2030-09-08,7.9,FIXED,3 MONTHS,200000000000,200000000000,9.995893223819301,4,40,0,875,228571428.57142857,1,0.001142857142857143,Natural Resources,632000000000
2023-01-31,SIPPLN04DCN1,SUKUK IJARAH BERKELANJUTAN IV PLN TAHAP I TAHUN 2020 SERI D,SUKUK,"PERUSAHAAN LISTRIK NEGARA (PERSERO), PT",2020-09-09,2035-09-08,8.65,FIXED,3 MONTHS,56000000000,56000000000,14.99520876112252,4,60,0,875,64000000,1,0.001142857142857143,Natural Resources,290640000000
2023-01-31,SIPPLN04ECN1,SUKUK IJARAH BERKELANJUTAN IV PLN TAHAP I TAHUN 2020 SERI E,SUKUK,"PERUSAHAAN LISTRIK NEGARA (PERSERO), PT",2020-09-09,2040-09-08,8.86,FIXED,3 MONTHS,46500000000,46499999999.99999,19.99726214921287,4,80,7.62939453125e-6,875,53142857.142857134,0.9999999999999999,0.0011428571428571427,Natural Resources,329591999999.99994
2023-01-31,SIPTPN02A,SUKUK IJARAH II TAHUN 2019 PT PERKEBUNAN NUSANTARA III (PERSERO) SERI A,SUKUK,"PERKEBUNAN NUSANTARA III (PERSERO), PT",2023-01-31,2025-08-21,11.2,FIXED,3 MONTHS,10000000000,10000000000,2.5544147843942504,4,10,0,1,10000000000,1,1,Natural Resources,11199999999.999998
2023-01-31,SIPTPN02C,SUKUK IJARAH II TAHUN 2019 PT PERKEBUNAN NUSANTARA III (PERSERO) SERI C,SUKUK,"PERKEBUNAN NUSANTARA III (PERSERO), PT",2023-01-31,2025-08-22,11.2,FIXED,3 MONTHS,150000000000,150000000000,2.5571526351813825,4,10,0,1,150000000000,1,1,Natural Resources,167999999999.99997
2023-01-31,SIPTPN02D,SUKUK IJARAH II TAHUN 2019 PT PERKEBUNAN NUSANTARA III (PERSERO) SERI D,SUKUK,"PERKEBUNAN NUSANTARA III (PERSERO), PT",2023-01-31,2023-02-21,11.2,FIXED,3 MONTHS,40000000000,40000000000,0.057494866529774126,4,0,0,1,40000000000,1,1,Natural Resources,0
2023-01-31,SIPTPN02E,SUKUK IJARAH II TAHUN 2019 PT PERKEBUNAN NUSANTARA III (PERSERO) SERI E,SUKUK,"PERKEBUNAN NUSANTARA III (PERSERO), PT",2023-01-31,2025-08-23,11.2,FIXED,3 MONTHS,200000000000,200000000000,2.5598904859685145,4,10,0,1,200000000000,1,1,Natural Resources,223999999999.99997
2023-01-31,SIPTPN02F,SUKUK IJARAH II TAHUN 2019 PT PERKEBUNAN NUSANTARA III (PERSERO) SERI F,SUKUK,"PERKEBUNAN NUSANTARA III (PERSERO), PT",2023-01-31,2024-09-03,11.6,Fixed,3 MONTHS,105000000000,105000000000,1.5906913073237507,4,6,0,1,105000000000,1,1,Natural Resources,73080000000
2023-01-31,SIPTPN02G,SUKUK IJARAH II TAHUN 2019 PT PERKEBUNAN NUSANTARA III (PERSERO) SERI G,SUKUK,"PERKEBUNAN NUSANTARA III (PERSERO), PT",2023-01-31,2023-02-21,11.2,FIXED,3 MONTHS,465000000000,464999999999.99994,0.057494866529774126,4,0,6.103515625e-5,1,464999999999.99994,0.9999999999999999,0.9999999999999999,Natural Resources,0
